exception,notes,response
1,2,Exception 01 – Sample message for exception code 1: Description of the MRP exception condition and possible planner action.
2,3,Exception 02 – Sample message for exception code 2: Description of the MRP exception condition and possible planner action.
3,4,Exception 03 – Sample message for exception code 3: Description of the MRP exception condition and possible planner action.
4,5,Exception 04 – Sample message for exception code 4: Description of the MRP exception condition and possible planner action.
5,6,Exception 05 – Sample message for exception code 5: Description of the MRP exception condition and possible planner action.
6,7,Exception 06 – Sample message for exception code 6: Description of the MRP exception condition and possible planner action.
7,8,Exception 07 – Sample message for exception code 7: Description of the MRP exception condition and possible planner action.
8,9,Exception 08 – Sample message for exception code 8: Description of the MRP exception condition and possible planner action.
9,10,Exception 09 – Sample message for exception code 9: Description of the MRP exception condition and possible planner action.
10,1,Exception 10 – Sample message for exception code 10: Description of the MRP exception condition and possible planner action.
11,2,Exception 11 – Sample message for exception code 11: Description of the MRP exception condition and possible planner action.
12,3,Exception 12 – Sample message for exception code 12: Description of the MRP exception condition and possible planner action.
13,4,Exception 13 – Sample message for exception code 13: Description of the MRP exception condition and possible planner action.
14,5,Exception 14 – Sample message for exception code 14: Description of the MRP exception condition and possible planner action.
15,6,Exception 15 – Sample message for exception code 15: Description of the MRP exception condition and possible planner action.
16,7,Exception 16 – Sample message for exception code 16: Description of the MRP exception condition and possible planner action.
17,8,Exception 17 – Sample message for exception code 17: Description of the MRP exception condition and possible planner action.
18,9,Exception 18 – Sample message for exception code 18: Description of the MRP exception condition and possible planner action.
19,10,Exception 19 – Sample message for exception code 19: Description of the MRP exception condition and possible planner action.
20,1,Exception 20 – Sample message for exception code 20: Description of the MRP exception condition and possible planner action.
21,2,Exception 21 – Sample message for exception code 21: Description of the MRP exception condition and possible planner action.
22,3,Exception 22 – Sample message for exception code 22: Description of the MRP exception condition and possible planner action.
23,4,Exception 23 – Sample message for exception code 23: Description of the MRP exception condition and possible planner action.
24,5,Exception 24 – Sample message for exception code 24: Description of the MRP exception condition and possible planner action.
25,6,Exception 25 – Sample message for exception code 25: Description of the MRP exception condition and possible planner action.
26,7,Exception 26 – Sample message for exception code 26: Description of the MRP exception condition and possible planner action.
27,8,Exception 27 – Sample message for exception code 27: Description of the MRP exception condition and possible planner action.
28,9,Exception 28 – Sample message for exception code 28: Description of the MRP exception condition and possible planner action.
29,10,Exception 29 – Sample message for exception code 29: Description of the MRP exception condition and possible planner action.
30,1,Exception 30 – Sample message for exception code 30: Description of the MRP exception condition and possible planner action.
31,2,Exception 31 – Sample message for exception code 31: Description of the MRP exception condition and possible planner action.
32,3,Exception 32 – Sample message for exception code 32: Description of the MRP exception condition and possible planner action.
33,4,Exception 33 – Sample message for exception code 33: Description of the MRP exception condition and possible planner action.
34,5,Exception 34 – Sample message for exception code 34: Description of the MRP exception condition and possible planner action.
35,6,Exception 35 – Sample message for exception code 35: Description of the MRP exception condition and possible planner action.
36,7,Exception 36 – Sample message for exception code 36: Description of the MRP exception condition and possible planner action.
37,8,Exception 37 – Sample message for exception code 37: Description of the MRP exception condition and possible planner action.
38,9,Exception 38 – Sample message for exception code 38: Description of the MRP exception condition and possible planner action.
39,10,Exception 39 – Sample message for exception code 39: Description of the MRP exception condition and possible planner action.
40,1,Exception 40 – Sample message for exception code 40: Description of the MRP exception condition and possible planner action.
41,2,Exception 41 – Sample message for exception code 41: Description of the MRP exception condition and possible planner action.
42,3,Exception 42 – Sample message for exception code 42: Description of the MRP exception condition and possible planner action.
43,4,Exception 43 – Sample message for exception code 43: Description of the MRP exception condition and possible planner action.
44,5,Exception 44 – Sample message for exception code 44: Description of the MRP exception condition and possible planner action.
45,6,Exception 45 – Sample message for exception code 45: Description of the MRP exception condition and possible planner action.
46,7,Exception 46 – Sample message for exception code 46: Description of the MRP exception condition and possible planner action.
47,8,Exception 47 – Sample message for exception code 47: Description of the MRP exception condition and possible planner action.
48,9,Exception 48 – Sample message for exception code 48: Description of the MRP exception condition and possible planner action.
49,10,Exception 49 – Sample message for exception code 49: Description of the MRP exception condition and possible planner action.
50,1,Exception 50 – Sample message for exception code 50: Description of the MRP exception condition and possible planner action.
51,2,Exception 51 – Sample message for exception code 51: Description of the MRP exception condition and possible planner action.
52,3,Exception 52 – Sample message for exception code 52: Description of the MRP exception condition and possible planner action.
53,4,Exception 53 – Sample message for exception code 53: Description of the MRP exception condition and possible planner action.
54,5,Exception 54 – Sample message for exception code 54: Description of the MRP exception condition and possible planner action.
55,6,Exception 55 – Sample message for exception code 55: Description of the MRP exception condition and possible planner action.
56,7,Exception 56 – Sample message for exception code 56: Description of the MRP exception condition and possible planner action.
57,8,Exception 57 – Sample message for exception code 57: Description of the MRP exception condition and possible planner action.
58,9,Exception 58 – Sample message for exception code 58: Description of the MRP exception condition and possible planner action.
59,10,Exception 59 – Sample message for exception code 59: Description of the MRP exception condition and possible planner action.
60,1,Exception 60 – Sample message for exception code 60: Description of the MRP exception condition and possible planner action.
61,2,Exception 61 – Sample message for exception code 61: Description of the MRP exception condition and possible planner action.
62,3,Exception 62 – Sample message for exception code 62: Description of the MRP exception condition and possible planner action.
63,4,Exception 63 – Sample message for exception code 63: Description of the MRP exception condition and possible planner action.
64,5,Exception 64 – Sample message for exception code 64: Description of the MRP exception condition and possible planner action.
65,6,Exception 65 – Sample message for exception code 65: Description of the MRP exception condition and possible planner action.
66,7,Exception 66 – Sample message for exception code 66: Description of the MRP exception condition and possible planner action.
67,8,Exception 67 – Sample message for exception code 67: Description of the MRP exception condition and possible planner action.
68,9,Exception 68 – Sample message for exception code 68: Description of the MRP exception condition and possible planner action.
69,10,Exception 69 – Sample message for exception code 69: Description of the MRP exception condition and possible planner action.
70,1,Exception 70 – Sample message for exception code 70: Description of the MRP exception condition and possible planner action.
71,2,Exception 71 – Sample message for exception code 71: Description of the MRP exception condition and possible planner action.
72,3,Exception 72 – Sample message for exception code 72: Description of the MRP exception condition and possible planner action.
73,4,Exception 73 – Sample message for exception code 73: Description of the MRP exception condition and possible planner action.
74,5,Exception 74 – Sample message for exception code 74: Description of the MRP exception condition and possible planner action.
75,6,Exception 75 – Sample message for exception code 75: Description of the MRP exception condition and possible planner action.
76,7,Exception 76 – Sample message for exception code 76: Description of the MRP exception condition and possible planner action.
77,8,Exception 77 – Sample message for exception code 77: Description of the MRP exception condition and possible planner action.
78,9,Exception 78 – Sample message for exception code 78: Description of the MRP exception condition and possible planner action.
79,10,Exception 79 – Sample message for exception code 79: Description of the MRP exception condition and possible planner action.
80,1,Exception 80 – Sample message for exception code 80: Description of the MRP exception condition and possible planner action.
81,2,Exception 81 – Sample message for exception code 81: Description of the MRP exception condition and possible planner action.
82,3,Exception 82 – Sample message for exception code 82: Description of the MRP exception condition and possible planner action.
